ticker,next_trading_date,prev_close,actual_close,actual_return,lstm_predicted_price,lstm_signal,lstm_profit,xgboost_prob,xgboost_signal,xgboost_profit,rl_recommendation,rl_signal,rl_profit,nlp_sentiment_score,updated_at,lstm_pct,xgboost_pct,rl_pct
KO,2025-04-02,71.87,71.33,-0.007513566161124339,70.39,Down,0.5400000000000063,0.99,Up,-0.5400000000000063,Hold,Hold,0.0,0.05,2025-04-01T22:30:11.415784+00:00,0.7513566161124339,-0.7513566161124339,0.0
KO,2025-04-03,71.33,73.18,0.02593579139212125,70.63991220653057,Down,-1.8500000000000085,0.3288005292415619,Down,-1.8500000000000085,Hold,Hold,0.0,0.0428041315166646,2025-04-02T22:30:11.415784+00:00,-2.593579139212125,-2.593579139212125,0.0
KO,2025-04-04,73.18,69.93,-0.044411041268106036,70.9596065825224,Down,3.25,0.923660933971405,Up,-3.25,Buy,Up,-3.25,0.0371223546418199,2025-04-03T22:30:12.786631+00:00,4.441104126810604,-4.441104126810604,-4.441104126810604
KO,2025-04-08,68.37,68.42,0.0007313149041977059,70.67864154279232,Up,0.04999999999999716,0.2081983536481857,Down,-0.04999999999999716,Hold,Hold,0.0,0.1299720382793206,2025-04-08T03:37:47.250199+00:00,0.07313149041977059,-0.07313149041977059,0.0
KO,2025-04-09,68.42,69.95,0.02236188249049987,70.03479933202267,Up,1.5300000000000011,0.7025121450424194,Up,1.5300000000000011,Sell,Down,-1.5300000000000011,0.1160166302269636,2025-04-08T23:28:32.381848+00:00,2.236188249049987,2.236188249049987,-2.236188249049987
MSFT,2025-04-02,382.19,382.14,-0.00013082498233865712,389.27,Up,-0.05000000000001137,0.94,Up,-0.05000000000001137,Buy,Up,-0.05000000000001137,-0.03,2025-04-01T22:30:25.867709+00:00,-0.013082498233865713,-0.013082498233865713,-0.013082498233865713
MSFT,2025-04-03,382.14,373.11,-0.023630083215575373,387.8792772629857,Up,-9.029999999999973,0.6178485751152039,Up,-9.029999999999973,Sell,Down,9.029999999999973,-0.030077809929009,2025-04-02T22:30:25.867709+00:00,-2.3630083215575373,-2.3630083215575373,2.3630083215575373
MSFT,2025-04-04,373.11,359.84,-0.035565918897912246,386.037409017086,Up,-13.270000000000039,0.1234831884503364,Down,13.270000000000039,Sell,Down,13.270000000000039,-0.0068380181378551,2025-04-03T22:30:27.146125+00:00,-3.5565918897912248,3.5565918897912248,3.5565918897912248
MSFT,2025-04-08,357.86,354.56,-0.009221483261610717,381.094131282568,Up,-3.3000000000000114,0.7890827655792236,Up,-3.3000000000000114,Sell,Down,3.3000000000000114,-0.0494197291926119,2025-04-08T03:37:55.901848+00:00,-0.9221483261610717,-0.9221483261610717,0.9221483261610717
MSFT,2025-04-09,354.56,390.49,0.10133686823104696,378.32228784918783,Up,35.93000000000001,0.4291087687015533,Down,-35.93000000000001,Hold,Hold,0.0,-0.0421193362772779,2025-04-08T23:28:41.264034+00:00,10.133686823104696,-10.133686823104696,0.0
TSLA,2025-04-02,268.46,282.76,0.05326678089845792,255.04,Down,-14.300000000000011,0.74,Up,14.300000000000011,Sell,Down,-14.300000000000011,-0.19,2025-04-01T22:30:17.619640+00:00,-5.3266780898457915,5.3266780898457915,-5.3266780898457915
TSLA,2025-04-03,282.76,267.28,-0.05474607440939319,260.5894725187123,Down,15.480000000000018,0.8466350436210632,Up,-15.480000000000018,Buy,Up,-15.480000000000018,-0.1365712463112854,2025-04-02T22:30:17.619640+00:00,5.4746074409393195,-5.4746074409393195,-5.4746074409393195
TSLA,2025-04-04,267.28,239.43,-0.1041978449565997,263.13582161039113,Down,27.849999999999966,0.1697372198104858,Down,27.849999999999966,Sell,Down,27.849999999999966,-0.1718403695367517,2025-04-03T22:30:21.646113+00:00,10.41978449565997,10.41978449565997,10.41978449565997
TSLA,2025-04-08,233.29,221.86,-0.04899481332247408,262.47370475903153,Up,-11.429999999999978,0.1867531687021255,Down,11.429999999999978,Hold,Hold,0.0,-0.2332228549138401,2025-04-08T03:37:51.404441+00:00,-4.899481332247408,4.899481332247408,0.0
TSLA,2025-04-09,221.86,272.2,0.2268998467502027,259.1795313115418,Up,50.339999999999975,0.1577225178480148,Down,-50.339999999999975,Buy,Up,50.339999999999975,-0.123680092976166,2025-04-08T23:28:36.799434+00:00,22.68998467502027,-22.68998467502027,22.68998467502027
